日期,样本数,硬异常数,软异常数,通过清洗数,特征缺失偏高数,平均特征缺失率,硬异常率,软异常率
2026-03-27,226,0,7,226,0,0.0014448257178977786,0.0,0.030973451327433628
2026-03-30,226,0,6,226,0,0.0014448257178977786,0.0,0.02654867256637168
2026-03-31,227,0,8,227,1,0.0032365369055111027,0.0,0.03524229074889868
2026-04-01,227,0,5,227,1,0.002427402679133327,0.0,0.022026431718061675
2026-04-02,227,0,3,227,1,0.002427402679133327,0.0,0.013215859030837005
2026-04-03,227,0,3,227,1,0.0023374988762024634,0.0,0.013215859030837005
2026-04-07,227,0,3,227,0,0.0018879798615481433,0.0,0.013215859030837005
2026-04-08,227,0,13,227,0,0.0016182684527555513,0.0,0.05726872246696035
2026-04-09,227,0,4,227,0,0.0015283646498246875,0.0,0.01762114537444934
2026-04-10,227,0,6,227,0,0.0014384608468938236,0.0,0.02643171806167401
2026-04-13,227,0,7,227,0,0.0014384608468938236,0.0,0.030837004405286344
2026-04-14,227,0,4,227,0,0.0010788456351703676,0.0,0.01762114537444934
2026-04-15,227,0,5,227,0,0.0005394228175851838,0.0,0.022026431718061675
2026-04-16,228,0,10,228,1,0.0025957751521661298,0.0,0.043859649122807015
2026-04-17,228,0,4,228,1,0.002416756176154672,0.0,0.017543859649122806
2026-04-20,228,0,10,228,1,0.002506265664160401,0.0,0.043859649122807015
2026-04-21,228,0,6,228,1,0.002327246688148944,0.0,0.02631578947368421
2026-04-22,227,0,9,227,0,0.0019778836644790076,0.0,0.039647577092511016
2026-04-23,226,0,6,226,0,0.0015351273252663896,0.0,0.02654867256637168
2026-04-24,228,0,5,228,0,0.0015216612960973863,0.0,0.021929824561403508
2026-04-27,228,0,9,228,0,0.0015216612960973863,0.0,0.039473684210526314
2026-04-28,227,0,3,227,0,0.0010788456351703676,0.0,0.013215859030837005
2026-04-29,228,0,7,228,0,0.0007160759040458288,0.0,0.03070175438596491
2026-04-30,228,0,5,228,0,0.0005370569280343716,0.0,0.021929824561403508
2026-05-06,228,0,8,228,0,0.0005370569280343716,0.0,0.03508771929824561
2026-05-07,228,0,10,228,0,0.0005370569280343716,0.0,0.043859649122807015
2026-05-08,228,0,9,228,0,0.00044754744002864304,0.0,0.039473684210526314
2026-05-11,228,0,9,228,0,0.00044754744002864304,0.0,0.039473684210526314
2026-05-12,228,0,8,228,0,0.00044754744002864304,0.0,0.03508771929824561
2026-05-13,228,0,7,228,0,0.00044754744002864304,0.0,0.03070175438596491
2026-05-14,228,0,11,228,0,0.0027578599007170436,0.0,0.04824561403508772
