代码,名称,行业,板块,交易所,样本数,硬异常数,软异常数,通过清洗数,特征缺失偏高数,平均特征缺失率,硬异常率,软异常率
002273,水晶光电,光学光电子,深市主板,深交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
002801,微光股份,电机Ⅱ,深市主板,深交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
002841,视源股份,消费电子,深市主板,深交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
002933,新兴装备,航空装备Ⅱ,深市主板,深交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
002997,瑞鹄模具,汽车零部件,深市主板,深交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
600066,宇通客车,商用车,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
600141,兴发集团,农化制品,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
600378,昊华科技,化学制品,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
600456,宝钛股份,小金属,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
600612,老凤祥,饰品,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
601899,紫金矿业,工业金属,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
603072,天和磁材,金属新材料,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
603099,长白山,旅游及景区,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
603197,保隆科技,汽车零部件,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
603199,九华旅游,旅游及景区,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
603281,江瀚新材,化学制品,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
603596,伯特利,汽车零部件,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
603666,亿嘉和,自动化设备,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
603816,顾家家居,家居用品,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
603868,飞科电器,小家电,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
605088,冠盛股份,汽车零部件,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
605128,上海沿浦,汽车零部件,沪市主板,上交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
920046,亿能电力,电网设备,北交所,北交所,260,0,1,260,4,0.015620094191522764,0.0,0.0038461538461538464
920284,灵鸽科技,专用设备,北交所,北交所,260,0,1,260,4,0.015620094191522764,0.0,0.0038461538461538464
920396,常辅股份,自动化设备,北交所,北交所,260,0,1,260,4,0.015620094191522764,0.0,0.0038461538461538464
920509,同惠电子,通用设备,北交所,北交所,260,0,1,260,4,0.015620094191522764,0.0,0.0038461538461538464
920725,惠丰钻石,通用设备,北交所,北交所,260,0,1,260,4,0.015620094191522764,0.0,0.0038461538461538464
920839,万通液压,工程机械,北交所,北交所,260,0,1,260,4,0.015620094191522764,0.0,0.0038461538461538464
601995,中金公司,证券Ⅱ,沪市主板,上交所,241,0,0,241,4,0.017006802721088437,0.0,0.0
002128,电投能源,煤炭开采,深市主板,深交所,252,0,0,252,4,0.016261484673550694,0.0,0.0
600323,瀚蓝环境,环境治理,沪市主板,上交所,259,0,0,259,4,0.0158202816010125,0.0,0.0
000526,学大教育,教育,深市主板,深交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
000938,紫光股份,IT服务Ⅱ,深市主板,深交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
000963,华东医药,化学制药,深市主板,深交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
002001,新 和 成,化学制品,深市主板,深交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
002142,宁波银行,银行Ⅱ,深市主板,深交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
002315,焦点科技,互联网电商,深市主板,深交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
002352,顺丰控股,物流,深市主板,深交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
002415,海康威视,计算机设备,深市主板,深交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
