交易所,板块,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,振幅,时间戳,行业,原始代码,数据源
上交所,沪市主板,600114,东睦股份,33.37,-0.03999999999999915,-0.11972463334330784,33.41,33.5,34.52,32.6,24813077.0,832584148.0,5.746782400478905,2026-05-15 15:00:03,通用设备,sh600114,sina_snapshot
上交所,沪市主板,600141,兴发集团,32.18,-0.3400000000000034,-1.0455104551045615,32.52,33.02,33.44,31.73,37384988.0,1215347915.0,5.258302583025822,2026-05-15 15:00:01,农化制品,sh600141,sina_snapshot
上交所,沪市主板,600160,巨化股份,35.91,1.3499999999999943,3.906249999999983,34.56,36.0,37.66,35.7,106915355.0,3925919622.0,5.671296296296278,2026-05-15 15:00:03,化学制品,sh600160,sina_snapshot
上交所,沪市主板,600171,上海贝岭,29.28,-0.1999999999999993,-0.6784260515603775,29.48,29.48,30.17,28.98,21728741.0,642335295.0,4.036635006784265,2026-05-15 15:00:01,半导体,sh600171,sina_snapshot
上交所,沪市主板,600176,中国巨石,33.86,-3.759999999999998,-9.994683678894202,37.62,37.6,38.0,33.86,208669742.0,7318975326.0,11.004784688995217,2026-05-15 15:00:03,玻璃玻纤,sh600176,sina_snapshot
上交所,沪市主板,600206,有研新材,30.58,-1.7100000000000009,-5.295757200371635,32.29,31.98,32.9,30.2,105679672.0,3294916184.0,8.361721895323628,2026-05-15 15:00:02,半导体,sh600206,sina_snapshot
上交所,沪市主板,600298,安琪酵母,36.25,-0.45000000000000284,-1.2261580381471466,36.7,36.68,36.73,36.06,8349785.0,303472659.0,1.8256130790190586,2026-05-15 15:00:03,调味发酵品Ⅱ,sh600298,sina_snapshot
上交所,沪市主板,600316,洪都航空,32.67,-0.9399999999999977,-2.7967866706337334,33.61,33.61,33.71,32.36,11623581.0,382368626.0,4.016661707825056,2026-05-15 15:00:01,航空装备Ⅱ,sh600316,sina_snapshot
上交所,沪市主板,600323,瀚蓝环境,30.46,-0.6899999999999977,-2.2150882825040057,31.15,31.01,31.12,30.24,7184365.0,219098485.0,2.8250401284109232,2026-05-15 15:00:03,环境治理,sh600323,sina_snapshot
上交所,沪市主板,600330,天通股份,29.52,-3.2799999999999976,-9.999999999999993,32.8,32.6,33.38,29.52,201609147.0,6143741561.0,11.76829268292684,2026-05-15 15:00:01,电子化学品Ⅱ,sh600330,sina_snapshot
上交所,沪市主板,600378,昊华科技,36.93,0.2700000000000031,0.7364975450081919,36.66,37.49,38.43,36.68,36764279.0,1373941853.0,4.773595199127115,2026-05-15 15:00:01,化学制品,sh600378,sina_snapshot
上交所,沪市主板,600426,华鲁恒升,34.31,0.3400000000000034,1.000883132175459,33.97,34.11,34.99,33.53,24418201.0,839067010.0,4.297909920518107,2026-05-15 15:00:01,农化制品,sh600426,sina_snapshot
上交所,沪市主板,600456,宝钛股份,33.76,-0.6400000000000006,-1.8604651162790715,34.4,34.48,34.65,33.55,9173569.0,311545485.0,3.1976744186046555,2026-05-15 15:00:00,小金属,sh600456,sina_snapshot
上交所,沪市主板,600460,士兰微,30.95,-0.4299999999999997,-1.3702995538559584,31.38,31.45,32.2,30.51,85544747.0,2670716621.0,5.3855959209687745,2026-05-15 15:00:03,半导体,sh600460,sina_snapshot
上交所,沪市主板,600520,三佳科技,29.67,-1.0799999999999983,-3.512195121951214,30.75,30.29,30.86,29.55,14143198.0,424569444.0,4.260162601626012,2026-05-15 15:00:01,专用设备,sh600520,sina_snapshot
上交所,沪市主板,600547,山东黄金,31.9,-1.6900000000000048,-5.031259303364111,33.59,33.0,33.0,31.5,72672715.0,2337721558.0,4.465614766299494,2026-05-15 15:00:03,贵金属,sh600547,sina_snapshot
上交所,沪市主板,600593,大连圣亚,35.66,0.0899999999999963,0.2530222097272879,35.57,35.92,36.5,35.35,3512100.0,125953507.0,3.2330615687376962,2026-05-15 15:00:04,旅游及景区,sh600593,sina_snapshot
上交所,沪市主板,600605,汇通能源,33.05,-0.9200000000000017,-2.708272004710043,33.97,34.0,34.04,32.87,5102940.0,170050619.0,3.444215484250815,2026-05-15 15:00:03,一般零售,sh600605,sina_snapshot
上交所,沪市主板,600612,老凤祥,37.39,-0.6000000000000014,-1.5793629902605986,37.99,37.95,38.08,37.14,1530046.0,57515145.0,2.4743353514082593,2026-05-15 15:00:04,饰品,sh600612,sina_snapshot
上交所,沪市主板,600673,东阳光,36.51,-1.5200000000000031,-3.996844596371294,38.03,37.64,38.6,36.2,80773774.0,3014200730.0,6.310807257428343,2026-05-15 15:00:01,综合Ⅱ,sh600673,sina_snapshot
